track_uri,track_name,album,artist_name,track_pop,year,language,link
spotify:track:4ZfQwNx3FlCN07cnUvekh3,Ain't That A Shame,Fats Domino Swings,Fats Domino,57,1950,english,https://open.spotify.com/track/spotify:track:4ZfQwNx3FlCN07cnUvekh3?si=b0d970dc39ca4da1&nd=1
spotify:track:7ItZM6DMZE2m1X7yIaRxjq,C’Mon Everybody,12 Of His Biggest Hits,Eddie Cochran,56,1950,english,https://open.spotify.com/track/spotify:track:7ItZM6DMZE2m1X7yIaRxjq?si=b0d970dc39ca4da1&nd=1
spotify:track:7DJsL4jyXA39GDiHFQYQ0t,Mess Around,"Ray Charles (aka: Hallelujah, I Love Her So)",Ray Charles,56,1950,english,https://open.spotify.com/track/spotify:track:7DJsL4jyXA39GDiHFQYQ0t?si=b0d970dc39ca4da1&nd=1
spotify:track:4FlYcJnfkeBpowEHJ72Bmt,Rockin' Robin,Rockin' Robin,Bobby Day,56,1950,english,https://open.spotify.com/track/spotify:track:4FlYcJnfkeBpowEHJ72Bmt?si=b0d970dc39ca4da1&nd=1
spotify:track:6xNwKNYZcvgV3XTIwsgNio,Heartbreak Hotel,Elvis' Golden Records,Elvis Presley,56,1950,english,https://open.spotify.com/track/spotify:track:6xNwKNYZcvgV3XTIwsgNio?si=b0d970dc39ca4da1&nd=1
spotify:track:5ayybTSXNwcarDtxQKqvWX,Poor Little Fool - Remastered,Ricky Nelson (Expanded Edition / Remastered),Ricky Nelson,56,1950,english,https://open.spotify.com/track/spotify:track:5ayybTSXNwcarDtxQKqvWX?si=b0d970dc39ca4da1&nd=1
spotify:track:40fD7ct05FvQHLdQTgJelG,Splish Splash,Bobby Darin,Bobby Darin,57,1950,english,https://open.spotify.com/track/spotify:track:40fD7ct05FvQHLdQTgJelG?si=b0d970dc39ca4da1&nd=1
spotify:track:5d6ZRqgbz26Sg4bk1oifQw,Blue Suede Shoes,The Dance Album,Carl Perkins,56,1950,english,https://open.spotify.com/track/spotify:track:5d6ZRqgbz26Sg4bk1oifQw?si=b0d970dc39ca4da1&nd=1
spotify:track:0hveAq1VSNWo9MQYGMHvFF,I'm So Lonesome I Could Cry,Moanin' The Blues (Expanded Edition),Hank Williams,56,1950,english,https://open.spotify.com/track/spotify:track:0hveAq1VSNWo9MQYGMHvFF?si=b0d970dc39ca4da1&nd=1
spotify:track:3KSchPNSklO5McIqRH3qYX,I'm Your Hoochie Coochie Man,King Of The Electric Blues,Muddy Waters,56,1950,english,https://open.spotify.com/track/spotify:track:3KSchPNSklO5McIqRH3qYX?si=b0d970dc39ca4da1&nd=1
spotify:track:07GtDOCxmye5KDWsTSACPk,Chantilly Lace,Chantilly Lace,The Big Bopper,56,1950,english,https://open.spotify.com/track/spotify:track:07GtDOCxmye5KDWsTSACPk?si=b0d970dc39ca4da1&nd=1
spotify:track:3P6OwCX7Ofiaaqtvujb6i5,Sixteen Tons,Vintage Collections,Tennessee Ernie Ford,55,1950,english,https://open.spotify.com/track/spotify:track:3P6OwCX7Ofiaaqtvujb6i5?si=b0d970dc39ca4da1&nd=1
spotify:track:2OARIMw1hpehr86Iwmv04c,Peggy Sue,Buddy Holly,Buddy Holly,55,1950,english,https://open.spotify.com/track/spotify:track:2OARIMw1hpehr86Iwmv04c?si=b0d970dc39ca4da1&nd=1
spotify:track:4tmy6FB76bR5eLmx0zO1mn,Pennies From Heaven,The Call Of The Wildest (Expanded Edition),Louis Prima,55,1950,english,https://open.spotify.com/track/spotify:track:4tmy6FB76bR5eLmx0zO1mn?si=b0d970dc39ca4da1&nd=1
spotify:track:34zhjduFdQFhkRUJ230h9T,April In Paris,All Or Nothing At All,Billie Holiday,55,1950,english,https://open.spotify.com/track/spotify:track:34zhjduFdQFhkRUJ230h9T?si=b0d970dc39ca4da1&nd=1
spotify:track:7Gpx2fNJiilvrf9Ss8qbit,Calendar Girl,Rock with Sedaka (Expanded Edition),Neil Sedaka,55,1950,english,https://open.spotify.com/track/spotify:track:7Gpx2fNJiilvrf9Ss8qbit?si=b0d970dc39ca4da1&nd=1
spotify:track:11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Very Best of The Everly Brothers,The Everly Brothers,55,1950,english,https://open.spotify.com/track/spotify:track:11fNLqDB47gMKj7BHhR2Qr?si=b0d970dc39ca4da1&nd=1
spotify:track:3nUrhP3KuK4R1qdxRk2Kgo,Stupid Cupid,Gold,Connie Francis,54,1950,english,https://open.spotify.com/track/spotify:track:3nUrhP3KuK4R1qdxRk2Kgo?si=b0d970dc39ca4da1&nd=1
spotify:track:5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,Elvis' Golden Records,Elvis Presley,54,1950,english,https://open.spotify.com/track/spotify:track:5ueyLj6e6oVaTY0KQ6yLaA?si=b0d970dc39ca4da1&nd=1
spotify:track:2HyPrPSANTIPkR6CfiytwY,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Day By Night (with Paul Weston & His Music From Hollywood),Doris Day,54,1950,english,https://open.spotify.com/track/spotify:track:2HyPrPSANTIPkR6CfiytwY?si=b0d970dc39ca4da1&nd=1
spotify:track:0Rk9byjmZksAJX15onGns5,Teach Me Tonight,"The Complete Dinah Washington On Mercury, Vol.4 (1954-1956)",Dinah Washington,54,1950,english,https://open.spotify.com/track/spotify:track:0Rk9byjmZksAJX15onGns5?si=b0d970dc39ca4da1&nd=1
spotify:track:0GVvRmCoiLkhxJvlZy9bLk,In The Still of the Night,For Collectors Only,The Five Satins,54,1950,english,https://open.spotify.com/track/spotify:track:0GVvRmCoiLkhxJvlZy9bLk?si=b0d970dc39ca4da1&nd=1
spotify:track:5tHFPtV7dT01fxDe2AhKjD,Rip It Up,Here's Little Richard (Deluxe Edition),Little Richard,54,1950,english,https://open.spotify.com/track/spotify:track:5tHFPtV7dT01fxDe2AhKjD?si=b0d970dc39ca4da1&nd=1
